Unnamed: 0,Job Vacancies ;  New South Wales ;,Job Vacancies ;  Victoria ;,Job Vacancies ;  Queensland ;,Job Vacancies ;  South Australia ;,Job Vacancies ;  Western Australia ;,Job Vacancies ;  Tasmania ;,Job Vacancies ;  Northern Territory ;,Job Vacancies ;  Australian Capital Territory ;,Job Vacancies ;  Australia ;,Job Vacancies ;  Australia ;.1,Job Vacancies ;  Australia ;.2,Standard Error of Job Vacancies ;  New South Wales ;,Standard Error of Job Vacancies ;  Victoria ;,Standard Error of Job Vacancies ;  Queensland ;,Standard Error of Job Vacancies ;  South Australia ;,Standard Error of Job Vacancies ;  Western Australia ;,Standard Error of Job Vacancies ;  Tasmania ;,Standard Error of Job Vacancies ;  Northern Territory ;,Standard Error of Job Vacancies ;  Australian Capital Territory ;,Standard Error of Job Vacancies ;  Australia ;
1979-05-15,,,,,,,,,40.9,43.5,42.9,,,,,,,,,
1979-08-15,,,,,,,,,39.6,41.9,41.5,,,,,,,,,
1979-11-15,,,,,,,,,40.0,38.4,40.0,,,,,,,,,
1980-02-15,,,,,,,,,43.2,40.6,38.6,,,,,,,,,
1980-05-15,,,,,,,,,34.8,36.7,38.0,,,,,,,,,
1980-08-15,,,,,,,,,35.2,37.5,37.4,,,,,,,,,
1980-11-15,,,,,,,,,40.6,38.7,37.7,,,,,,,,,
1981-02-15,,,,,,,,,39.9,37.4,40.0,,,,,,,,,
1981-05-15,,,,,,,,,42.2,44.0,42.5,,,,,,,,,
1981-08-15,,,,,,,,,41.0,44.5,43.8,,,,,,,,,
1981-11-15,,,,,,,,,43.6,41.7,41.8,,,,,,,,,
1982-02-15,,,,,,,,,39.9,37.3,36.4,,,,,,,,,
1982-05-15,,,,,,,,,29.3,30.3,31.2,,,,,,,,,
1982-08-15,,,,,,,,,24.8,26.8,28.4,,,,,,,,,
1982-11-15,,,,,,,,,31.2,30.3,28.6,,,,,,,,,
1983-02-15,,,,,,,,,32.0,29.7,30.3,,,,,,,,,
1983-05-15,,,,,,,,,31.8,32.4,31.7,,,,,,,,,
1983-08-15,,,,,,,,,31.1,33.6,34.3,,,,,,,,,
1983-11-15,13.6,7.6,5.0,2.6,4.3,0.9,0.5,1.4,36.0,36.3,37.6,,,,,,,,,
1984-02-15,24.6,12.4,5.4,4.2,0.0,0.6,0.5,1.4,49.1,44.6,40.9,,,,,,,,,
1984-05-15,18.1,10.9,5.0,2.9,0.4,0.4,0.7,1.7,40.1,40.3,43.5,,,,,,,,,
1984-08-15,21.3,9.5,5.0,3.3,3.5,0.9,0.7,1.3,45.3,48.5,46.5,,,,,,,,,
1984-11-15,17.6,13.8,5.2,2.7,5.0,0.8,0.9,1.5,47.7,49.8,52.3,3.7,2.3,1.0,0.5,1.2,0.1,0.2,0.2,4.7
1985-02-15,23.5,17.8,8.1,4.9,6.8,1.3,1.6,2.7,66.7,60.4,60.2,3.1,2.7,1.9,1.4,2.2,0.2,0.3,0.4,5.2
1985-05-15,27.5,20.7,5.8,4.5,5.1,1.4,1.4,2.9,69.2,68.6,66.0,4.1,3.1,1.0,1.2,1.3,0.2,0.3,0.4,5.5
1985-08-15,18.9,21.5,8.6,4.6,5.7,1.1,0.9,2.2,63.4,67.2,67.9,2.0,2.7,2.0,0.8,2.0,0.2,0.2,0.3,4.5
1985-11-15,20.7,18.5,8.6,5.0,4.8,1.1,1.1,2.5,62.3,66.2,66.9,2.1,2.6,1.4,0.9,1.1,0.1,0.3,0.2,3.9
1986-02-15,26.5,20.9,10.0,4.0,4.8,2.0,1.1,2.7,71.9,64.8,65.2,4.2,2.9,2.2,0.7,0.8,0.2,0.2,0.3,5.7
1986-05-15,25.3,20.8,5.8,3.1,5.1,1.6,1.3,3.0,65.8,66.1,64.0,3.0,3.1,1.2,0.6,1.0,0.2,0.3,0.3,4.6
1986-08-15,21.8,15.8,5.4,5.4,5.7,0.9,0.9,2.7,58.6,61.1,64.2,2.1,2.5,1.3,1.4,1.4,0.2,0.2,0.3,4.0
1986-11-15,26.0,15.6,6.6,4.3,5.2,1.3,1.3,2.2,62.6,66.3,65.6,3.6,2.3,1.4,0.8,1.2,0.3,0.4,0.2,4.7
