Unnamed: 0,Earnings; Males; Full Time; Adult; Ordinary time earnings ;,Earnings; Males; Full Time; Adult; Total earnings ;,Earnings; Males; Total earnings ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;,Earnings; Females; Full Time; Adult; Total earnings ;,Earnings; Females; Total earnings ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;,Earnings; Persons; Full Time; Adult; Total earnings ;,Earnings; Persons; Total earnings ;,Standard Errors ;  Earnings; Males; Full Time; Adult; Ordinary time earnings ;,Standard Errors ;  Earnings; Males; Full Time; Adult; Total earnings ;,Standard Errors ;  Earnings; Males; Total earnings ;,Standard Errors ;  Earnings; Females; Full Time; Adult; Ordinary time earnings ;,Standard Errors ;  Earnings; Females; Full Time; Adult; Total earnings ;,Standard Errors ;  Earnings; Females; Total earnings ;,Standard Errors ;  Earnings; Persons; Full Time; Adult; Ordinary time earnings ;,Standard Errors ;  Earnings; Persons; Full Time; Adult; Total earnings ;,Standard Errors ;  Earnings; Persons; Total earnings ;
1994-11-15,669.2,727.7,644.8,561.1,575.4,425.6,630.1,672.6,542.4,,,,,,,,,
1995-05-15,689.2,744.6,654.3,576.1,590.5,430.8,648.2,688.8,548.9,,,,,,,,,
1995-11-15,705.2,763.7,664.8,581.6,597.0,430.9,661.2,704.4,555.4,,,,,,,,,
1996-05-15,717.5,776.2,673.4,594.8,608.8,442.1,673.8,716.5,565.5,,,,,,,,,
1996-11-15,727.8,789.0,681.0,612.3,628.1,447.7,686.1,730.9,570.6,,,,,,,,,
1997-05-15,740.7,796.1,687.8,620.2,634.7,457.7,696.3,736.7,578.1,,,,,,,,,
1997-11-15,757.1,815.3,709.5,632.6,647.7,466.1,710.6,752.7,592.6,,,,,,,,,
1998-05-15,772.2,829.5,715.0,645.6,659.3,467.7,725.7,766.9,596.0,,,,,,,,,
1998-11-15,786.5,847.6,723.2,660.0,675.1,475.4,739.5,783.5,603.4,,,,,,,,,
1999-05-15,795.9,851.6,732.9,667.9,681.6,482.0,748.5,788.6,610.4,,,,,,,,,
1999-11-15,807.5,865.6,741.4,681.7,696.9,481.7,760.8,802.9,613.0,,,,,,,,,
2000-05-15,829.1,882.0,757.6,694.9,711.1,503.0,779.1,818.4,633.8,,,,,,,,,
2000-11-15,845.2,894.4,768.0,715.7,730.3,510.2,798.1,834.7,643.1,,,,,,,,,
2001-05-15,867.4,918.2,787.4,732.9,746.1,522.0,818.8,856.1,660.3,,,,,,,,,
